Calculating solvability percentage...
[Lower Bound, Upper Bound] | (Solvable/Unsolvable/Intractable) | Current seed
[83.203, 89.586] | (407/62/1) | 469
[83.238, 89.608] | (408/62/1) | 470
[83.042, 89.441] | (408/63/1) | 471
[83.078, 89.463] | (409/63/1) | 472
[83.112, 89.486] | (410/63/1) | 473
[83.147, 89.508] | (411/63/1) | 474
[83.182, 89.531] | (412/63/1) | 475
[83.216, 89.553] | (413/63/1) | 476
[83.251, 89.575] | (414/63/1) | 477
[83.285, 89.597] | (415/63/1) | 478
[83.319, 89.619] | (416/63/1) | 479
[83.353, 89.641] | (417/63/1) | 480
[83.386, 89.663] | (418/63/1) | 481
[83.420, 89.685] | (419/63/1) | 482
[83.454, 89.706] | (420/63/1) | 483
[83.487, 89.728] | (421/63/1) | 484
[83.520, 89.749] | (422/63/1) | 485
[83.330, 89.586] | (422/64/1) | 486
[83.364, 89.608] | (423/64/1) | 487
[83.397, 89.630] | (424/64/1) | 488
[83.430, 89.651] | (425/64/1) | 489
[83.463, 89.672] | (426/64/1) | 490
[83.496, 89.694] | (427/64/1) | 491
[83.529, 89.715] | (428/64/1) | 492
[83.561, 89.736] | (429/64/1) | 493
[83.594, 89.757] | (430/64/1) | 494
[83.407, 89.597] | (430/65/1) | 495
[83.440, 89.618] | (431/65/1) | 496
[83.473, 89.639] | (432/65/1) | 497
[83.505, 89.660] | (433/65/1) | 498
[83.537, 89.681] | (434/65/1) | 499
[83.569, 89.702] | (435/65/1) | 500
[83.385, 89.544] | (435/66/1) | 501
[83.418, 89.565] | (436/66/1) | 502
[83.450, 89.586] | (437/66/1) | 503
[83.482, 89.607] | (438/66/1) | 504
[83.514, 89.628] | (439/66/1) | 505
[83.546, 89.648] | (440/66/1) | 506
[83.577, 89.669] | (441/66/1) | 507
[83.609, 89.690] | (442/66/1) | 508
[83.640, 89.710] | (443/66/1) | 509
[83.672, 89.731] | (444/66/1) | 510
[83.703, 89.751] | (445/66/1) | 511
[83.734, 89.771] | (446/66/1) | 512
[83.765, 89.791] | (447/66/1) | 513
[83.796, 89.812] | (448/66/1) | 514
[83.827, 89.832] | (449/66/1) | 515
[83.648, 89.677] | (449/67/1) | 516
[83.678, 89.698] | (450/67/1) | 517
[83.709, 89.718] | (451/67/1) | 518
[83.740, 89.738] | (452/67/1) | 519
[83.770, 89.758] | (453/67/1) | 520
[83.801, 89.778] | (454/67/1) | 521
[83.831, 89.798] | (455/67/1) | 522
[83.861, 89.817] | (456/67/1) | 523
[83.892, 89.837] | (457/67/1) | 524
[83.922, 89.857] | (458/67/1) | 525
[83.951, 89.876] | (459/67/1) | 526
[83.981, 89.895] | (460/67/1) | 527
[84.011, 89.915] | (461/67/1) | 528
[83.836, 89.764] | (461/68/1) | 529
[83.866, 89.784] | (462/68/1) | 530
[83.895, 89.803] | (463/68/1) | 531
[83.925, 89.823] | (464/68/1) | 532
[83.954, 89.842] | (465/68/1) | 533
[83.781, 89.693] | (465/69/1) | 534
[83.811, 89.712] | (466/69/1) | 535
[83.840, 89.732] | (467/69/1) | 536
[83.870, 89.751] | (468/69/1) | 537
[83.899, 89.770] | (469/69/1) | 538
[83.928, 89.790] | (470/69/1) | 539
[83.957, 89.809] | (471/69/1) | 540
[83.986, 89.828] | (472/69/1) | 541
[84.015, 89.847] | (473/69/1) | 542
[84.044, 89.866] | (474/69/1) | 543
[84.073, 89.884] | (475/69/1) | 544
[83.903, 89.738] | (475/70/1) | 545
[83.932, 89.757] | (476/70/1) | 546
[83.763, 89.611] | (476/71/1) | 547
[83.792, 89.631] | (477/71/1) | 548
[83.821, 89.650] | (478/71/1) | 549
[83.850, 89.669] | (479/71/1) | 550
[83.878, 89.688] | (480/71/1) | 551
[83.907, 89.707] | (481/71/1) | 552
[83.935, 89.725] | (482/71/1) | 553
[83.964, 89.744] | (483/71/1) | 554
[83.992, 89.763] | (484/71/1) | 555
[84.020, 89.782] | (485/71/1) | 556
[84.048, 89.800] | (486/71/1) | 557
[84.076, 89.819] | (487/71/1) | 558
[84.104, 89.837] | (488/71/1) | 559
[84.132, 89.855] | (489/71/1) | 560
[84.159, 89.874] | (490/71/1) | 561
[84.187, 89.892] | (491/71/1) | 562
[84.214, 89.910] | (492/71/1) | 563
[84.242, 89.928] | (493/71/1) | 564
[84.269, 89.946] | (494/71/1) | 565
[84.296, 89.964] | (495/71/1) | 566
[84.323, 89.982] | (496/71/1) | 567
[84.350, 90.000] | (497/71/1) | 568
[84.187, 89.859] | (497/72/1) | 569
[84.214, 89.877] | (498/72/1) | 570
[84.242, 89.895] | (499/72/1) | 571
[84.080, 89.755] | (499/73/1) | 572
[84.107, 89.773] | (500/73/1) | 573
[84.134, 89.791] | (501/73/1) | 574
[84.161, 89.809] | (502/73/1) | 575
[84.188, 89.827] | (503/73/1) | 576
[84.028, 89.689] | (503/74/1) | 577
[83.868, 89.550] | (503/75/1) | 578
[83.895, 89.569] | (504/75/1) | 579
[83.737, 89.431] | (504/76/1) | 580
[83.764, 89.449] | (505/76/1) | 581
[83.791, 89.468] | (506/76/1) | 582
[83.818, 89.486] | (507/76/1) | 583
[83.846, 89.504] | (508/76/1) | 584
[83.873, 89.522] | (509/76/1) | 585
[83.900, 89.540] | (510/76/1) | 586
[83.926, 89.558] | (511/76/1) | 587
[83.953, 89.576] | (512/76/1) | 588
[83.980, 89.594] | (513/76/1) | 589
[84.006, 89.612] | (514/76/1) | 590
[84.033, 89.630] | (515/76/1) | 591
[84.059, 89.647] | (516/76/1) | 592
[83.904, 89.513] | (516/77/1) | 593
[83.930, 89.530] | (517/77/1) | 594
[83.957, 89.548] | (518/77/1) | 595
[83.983, 89.566] | (519/77/1) | 596
[84.009, 89.584] | (520/77/1) | 597
[84.036, 89.601] | (521/77/1) | 598
[84.062, 89.619] | (522/77/1) | 599
[84.088, 89.636] | (523/77/1) | 600
[84.114, 89.654] | (524/77/1) | 601
[84.139, 89.671] | (525/77/1) | 602
[83.987, 89.538] | (525/78/1) | 603
[84.012, 89.556] | (526/78/1) | 604
[84.038, 89.573] | (527/78/1) | 605
[84.064, 89.591] | (528/78/1) | 606
[84.090, 89.608] | (529/78/1) | 607
[84.115, 89.625] | (530/78/1) | 608
[84.141, 89.642] | (531/78/1) | 609
[84.166, 89.660] | (532/78/1) | 610
[84.192, 89.677] | (533/78/1) | 611
[84.217, 89.694] | (534/78/1) | 612
[84.242, 89.711] | (535/78/1) | 613
[84.268, 89.728] | (536/78/1) | 614
[84.293, 89.745] | (537/78/1) | 615
[84.318, 89.761] | (538/78/1) | 616
[84.342, 89.778] | (539/78/1) | 617
