[Lower Bound, Upper Bound] | (Solvable/Unsolvable/Intractable) | Current seed
[22.909, 100.000] | (3/0/2) | 194  (...re-evaluating...)  (doubling timeout & re-evaluating intractable seeds)
[0.000, 100.000] | (0/0/1) | 120  (...re-evaluating...)
[0.000, 100.000] | (0/0/2) | 157  (...re-evaluating...)
[85.287, 94.591] | (177/17/2) | 195 (inc timeout & re-eval expected CI: 0.087) (continue same length of time expected CI: 0.081)
[85.359, 94.619] | (178/17/2) | 196 (inc timeout & re-eval expected CI: 0.087) (continue same length of time expected CI: 0.081)
[85.430, 94.647] | (179/17/2) | 197 (inc timeout & re-eval expected CI: 0.086) (continue same length of time expected CI: 0.080)
[84.921, 94.275] | (179/18/2) | 198 (inc timeout & re-eval expected CI: 0.088) (continue same length of time expected CI: 0.081)
[84.993, 94.304] | (180/18/2) | 199 (inc timeout & re-eval expected CI: 0.087) (continue same length of time expected CI: 0.081)
[85.065, 94.333] | (181/18/2) | 200 (inc timeout & re-eval expected CI: 0.087) (continue same length of time expected CI: 0.080)
[85.137, 94.361] | (182/18/2) | 201 (inc timeout & re-eval expected CI: 0.087) (continue same length of time expected CI: 0.080)
